run,method,source,query,n_removed,filter_change,random_mean,random_sd,random_n,rank,z,percentile
plan_adam_eps1e17_4k_bs256,proponents,magic,0,40,0.02265024185180664,8.094072109088302e-05,0.0008129481575451791,100,1,27.762288309831714,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,1,40,0.020702838897705078,0.00010054111771751195,0.0007979025831446052,100,1,25.82056784274601,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,2,40,0.028731346130371094,-4.257917316863313e-05,0.0008534002699889243,100,1,33.716798922401516,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,3,40,0.022693395614624023,-6.6804886955651455e-06,0.0006676280172541738,100,1,34.001083712275374,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,4,40,0.01962590217590332,4.6784876758465543e-05,0.0007034344598650932,100,1,27.83360556845594,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,5,40,0.030556678771972656,-0.00019821643945761025,0.0008803195669315755,100,1,34.93605773029551,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,6,40,0.022876977920532227,-0.00013056039460934699,0.0009284614352509379,100,1,24.780284287115556,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,7,40,0.026923179626464844,-7.315874245250598e-05,0.0007759302388876677,100,1,34.79222359940227,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,8,40,0.02760028839111328,-8.891343895811588e-05,0.0008689825190231204,100,1,31.863934226431418,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,9,40,0.025256633758544922,8.584737952332944e-05,0.0008230426465161145,100,1,30.582602840287656,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,10,40,0.022233963012695312,-5.258321834844537e-05,0.0007055632886476815,100,1,31.58688467728995,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,11,40,0.0286562442779541,0.00016390800010412931,0.0007595716742798686,100,1,37.51105687934304,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,12,40,0.017140626907348633,0.00010771035886136815,0.0006152410060167313,100,1,27.68495009583945,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,13,40,0.02509284019470215,0.0001448535913368687,0.0009551426628604531,100,1,26.119644293399336,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,14,40,0.02494025230407715,0.00017971753550227731,0.0007594794151373208,100,1,32.60198272009511,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,15,40,0.019369840621948242,9.058236901182681e-05,0.0006896950653754175,100,1,27.953307513433135,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,16,40,0.019553661346435547,-1.2912750207760837e-05,0.0007061318610794842,100,1,27.709518823766597,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,17,40,0.04988813400268555,0.00013567447604145855,0.0011976624373346567,100,1,41.541304106828235,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,18,40,0.020503997802734375,0.0001672506332397461,0.0009036135743372142,100,1,22.506022205798867,0.9900990099009901
plan_adam_eps1e17_4k_bs256,proponents,magic,19,40,0.02602553367614746,4.5299530029296875e-05,0.0010053029982373118,100,1,25.843187766943544,0.9900990099009901
