run_id,sweep_group,selects_lr_for,model,optimizer,n_docs,batch_size,grad_accum_steps,num_epochs,steps,warmup,weight_decay,eps_root,seed,lr,heldout_loss,status,run_dir
tune_qwen15b_64k_bs256_lr1e-05_s42,tune_qwen15b_64k_bs256,qwen15b_64k_bs256,qwen2.5-1.5b,adamw,64000,256,64,2,500,0.25,0.01,1e-17,42,1e-05,2.6392,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_64k_bs256_lr1e-05_s42
tune_qwen15b_64k_bs256_lr2e-05_s42,tune_qwen15b_64k_bs256,qwen15b_64k_bs256,qwen2.5-1.5b,adamw,64000,256,64,2,500,0.25,0.01,1e-17,42,2e-05,2.6342,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_64k_bs256_lr2e-05_s42
tune_qwen15b_64k_bs256_lr5e-05_s42,tune_qwen15b_64k_bs256,qwen15b_64k_bs256,qwen2.5-1.5b,adamw,64000,256,64,2,500,0.25,0.01,1e-17,42,5e-05,2.6324,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_64k_bs256_lr5e-05_s42
tune_qwen15b_64k_bs256_lr0.0001_s42,tune_qwen15b_64k_bs256,qwen15b_64k_bs256,qwen2.5-1.5b,adamw,64000,256,64,2,500,0.25,0.01,1e-17,42,0.0001,2.6528,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_64k_bs256_lr0.0001_s42
tune_qwen15b_64k_bs256_lr0.0002_s42,tune_qwen15b_64k_bs256,qwen15b_64k_bs256,qwen2.5-1.5b,adamw,64000,256,64,2,500,0.25,0.01,1e-17,42,0.0002,2.7386,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_64k_bs256_lr0.0002_s42
tune_qwen15b_64k_bs256_lr0.0005_s42,tune_qwen15b_64k_bs256,qwen15b_64k_bs256,qwen2.5-1.5b,adamw,64000,256,64,2,500,0.25,0.01,1e-17,42,0.0005,2.9970,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_64k_bs256_lr0.0005_s42
tune_qwen15b_128k_bs256_lr1e-05_s42,tune_qwen15b_128k_bs256,qwen15b_128k_bs256,qwen2.5-1.5b,adamw,128000,256,64,2,1000,0.25,0.01,1e-17,42,1e-05,2.6368,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_128k_bs256_lr1e-05_s42
tune_qwen15b_128k_bs256_lr2e-05_s42,tune_qwen15b_128k_bs256,qwen15b_128k_bs256,qwen2.5-1.5b,adamw,128000,256,64,2,1000,0.25,0.01,1e-17,42,2e-05,2.6314,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_128k_bs256_lr2e-05_s42
tune_qwen15b_128k_bs256_lr5e-05_s42,tune_qwen15b_128k_bs256,qwen15b_128k_bs256,qwen2.5-1.5b,adamw,128000,256,64,2,1000,0.25,0.01,1e-17,42,5e-05,2.6288,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_128k_bs256_lr5e-05_s42
tune_qwen15b_128k_bs256_lr0.0001_s42,tune_qwen15b_128k_bs256,qwen15b_128k_bs256,qwen2.5-1.5b,adamw,128000,256,64,2,1000,0.25,0.01,1e-17,42,0.0001,2.6474,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_128k_bs256_lr0.0001_s42
tune_qwen15b_128k_bs256_lr0.0002_s42,tune_qwen15b_128k_bs256,qwen15b_128k_bs256,qwen2.5-1.5b,adamw,128000,256,64,2,1000,0.25,0.01,1e-17,42,0.0002,2.7232,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_128k_bs256_lr0.0002_s42
tune_qwen15b_128k_bs256_lr0.0005_s42,tune_qwen15b_128k_bs256,qwen15b_128k_bs256,qwen2.5-1.5b,adamw,128000,256,64,2,1000,0.25,0.01,1e-17,42,0.0005,2.9525,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_128k_bs256_lr0.0005_s42
tune_qwen15b_256k_bs256_lr1e-05_s42,tune_qwen15b_256k_bs256,qwen15b_256k_bs256,qwen2.5-1.5b,adamw,256000,256,64,2,2000,0.25,0.01,1e-17,42,1e-05,2.6345,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_256k_bs256_lr1e-05_s42
tune_qwen15b_256k_bs256_lr2e-05_s42,tune_qwen15b_256k_bs256,qwen15b_256k_bs256,qwen2.5-1.5b,adamw,256000,256,64,2,2000,0.25,0.01,1e-17,42,2e-05,2.6284,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_256k_bs256_lr2e-05_s42
tune_qwen15b_256k_bs256_lr5e-05_s42,tune_qwen15b_256k_bs256,qwen15b_256k_bs256,qwen2.5-1.5b,adamw,256000,256,64,2,2000,0.25,0.01,1e-17,42,5e-05,2.6245,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_256k_bs256_lr5e-05_s42
tune_qwen15b_256k_bs256_lr0.0001_s42,tune_qwen15b_256k_bs256,qwen15b_256k_bs256,qwen2.5-1.5b,adamw,256000,256,64,2,2000,0.25,0.01,1e-17,42,0.0001,2.6415,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_256k_bs256_lr0.0001_s42
tune_qwen15b_256k_bs256_lr0.0002_s42,tune_qwen15b_256k_bs256,qwen15b_256k_bs256,qwen2.5-1.5b,adamw,256000,256,64,2,2000,0.25,0.01,1e-17,42,0.0002,2.7101,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_256k_bs256_lr0.0002_s42
tune_qwen15b_256k_bs256_lr0.0005_s42,tune_qwen15b_256k_bs256,qwen15b_256k_bs256,qwen2.5-1.5b,adamw,256000,256,64,2,2000,0.25,0.01,1e-17,42,0.0005,2.9125,measured,/mnt/ssd-2/lucia/paper_runs/tuning/tune_qwen15b_256k_bs256_lr0.0005_s42
